"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"240","Desire","2021","2023",0.895751245769306,1,"0.8958","ns","Wilcoxon"
"241","Desire","2021","2013",0.266666666666667,1,"0.2667","ns","Wilcoxon"
"242","Desire","2021","2014",0.790107017354756,1,"0.7901","ns","Wilcoxon"
"243","Desire","2021","2015",0.8,1,"0.8000","ns","Wilcoxon"
"244","Desire","2021","2017",0.353554027939591,1,"0.3536","ns","Wilcoxon"
"245","Desire","2021","2019",0.860226912687447,1,"0.8602","ns","Wilcoxon"
"246","Desire","2021","2020",0.134737998787249,1,"0.1347","ns","Wilcoxon"
"247","Desire","2021","2022",0.510860187658648,1,"0.5109","ns","Wilcoxon"
"248","Desire","2021","2024",0.990340092165102,1,"0.9903","ns","Wilcoxon"
"249","Desire","2021","2016",0.15,1,"0.1500","ns","Wilcoxon"
"250","Desire","2021","2011",0.798039215686274,1,"0.7980","ns","Wilcoxon"
"251","Desire","2021","2018",0.266666666666667,1,"0.2667","ns","Wilcoxon"
"252","Desire","2010","2012",0.102690942788542,1,"0.1027","ns","Wilcoxon"
"253","Desire","2010","2023",0.845305374690682,1,"0.8453","ns","Wilcoxon"
"254","Desire","2010","2013",0.238095238095238,1,"0.2381","ns","Wilcoxon"
"255","Desire","2010","2014",0.731375909423242,1,"0.7314","ns","Wilcoxon"
"256","Desire","2010","2015",0.7,1,"0.7000","ns","Wilcoxon"
"257","Desire","2010","2017",0.241826125276158,1,"0.2418","ns","Wilcoxon"
"258","Desire","2010","2019",0.509063782873731,1,"0.5091","ns","Wilcoxon"
"259","Desire","2010","2020",0.166879580401066,1,"0.1669","ns","Wilcoxon"
"260","Desire","2010","2022",0.385134536539526,1,"0.3851","ns","Wilcoxon"
"261","Desire","2010","2024",0.921172809426913,1,"0.9212","ns","Wilcoxon"
"262","Desire","2010","2016",0.152380952380952,1,"0.1524","ns","Wilcoxon"
"263","Desire","2010","2011",0.906832298136646,1,"0.9068","ns","Wilcoxon"
"264","Desire","2010","2018",0.3,1,"0.3000","ns","Wilcoxon"
"265","Desire","2012","2023",0.0703167916128414,1,"0.0703","ns","Wilcoxon"
"266","Desire","2012","2013",0.0869565217391304,1,"0.0870","ns","Wilcoxon"
"267","Desire","2012","2014",0.121556231573419,1,"0.1216","ns","Wilcoxon"
"268","Desire","2012","2015",0.434782608695652,1,"0.4348","ns","Wilcoxon"
"269","Desire","2012","2017",0.0114556227706958,1,"0.0115","*","Wilcoxon"
"270","Desire","2012","2019",0.0224340474074211,1,"0.0224","*","Wilcoxon"
"271","Desire","2012","2020",0.89835855847559,1,"0.8984","ns","Wilcoxon"
"272","Desire","2012","2022",0.507295146390292,1,"0.5073","ns","Wilcoxon"
"273","Desire","2012","2024",0.0783227370591733,1,"0.0783","ns","Wilcoxon"
"274","Desire","2012","2016",0.405797101449275,1,"0.4058","ns","Wilcoxon"
"275","Desire","2012","2011",0.972575250836121,1,"0.9726","ns","Wilcoxon"
"276","Desire","2012","2018",0.347826086956522,1,"0.3478","ns","Wilcoxon"
"277","Desire","2023","2013",0.210526315789474,1,"0.2105","ns","Wilcoxon"
"278","Desire","2023","2014",0.621236170181072,1,"0.6212","ns","Wilcoxon"
"279","Desire","2023","2015",0.842105263157895,1,"0.8421","ns","Wilcoxon"
"280","Desire","2023","2017",0.307274937542804,1,"0.3073","ns","Wilcoxon"
"281","Desire","2023","2019",0.458962069957048,1,"0.4590","ns","Wilcoxon"
"282","Desire","2023","2020",0.16620670300234,1,"0.1662","ns","Wilcoxon"
"283","Desire","2023","2022",0.381063247430251,1,"0.3811","ns","Wilcoxon"
"284","Desire","2023","2024",0.877635240706092,1,"0.8776","ns","Wilcoxon"
"285","Desire","2023","2016",0.126315789473684,1,"0.1263","ns","Wilcoxon"
"286","Desire","2023","2011",1,1,"1.0000","ns","Wilcoxon"
